municipio_id,municipio_nome,municipio_cod_tjsp,municipio_nome_tjsp,comarca_id,comarca_munsede
3517307,Guaimbê,6701,Guaimbê,3517000,0
3517406,Guaíra,6702,Guaíra,3517406,1
3517505,Guapiaçu,6703,Guapiaçu,3549805,0
3517604,Guapiara,6704,Guapiara,3510203,0
3517901,Guaraci,6707,Guaraci,3533908,0
3517802,Guaraçaí,6706,Guaraçaí,3530102,0
3518008,Guarani d'Oeste,6708,Guarani d'Oeste,3534757,0
3518107,Guarantã,6709,Guarantã,3508801,0
3518206,Guararapes,6710,Guararapes,3518206,1
3518305,Guararema,6711,Guararema,3518305,1
3518404,Guaratinguetá,6712,Guaratinguetá,3518404,1
3517703,Guará,6705,Guará,3517703,1
3518503,Guareí,6713,Guareí,3540507,0
3518602,Guariba,6714,Guariba,3518602,1
3518701,Guarujá,6715,Guarujá,3518701,1
3518800,Guarulhos,6716,Guarulhos,3518800,1
3518859,Guatapará,6717,Guatapará,3543402,0
3518909,Guzolândia,6718,Guzolândia,3504206,0
3519006,Herculândia,6719,Herculândia,3555000,0
3519055,Holambra,6720,Holambra,3503802,0
3519071,Hortolândia,6721,Hortolândia,3519071,1
3519105,Iacanga,6722,Iacanga,3519105,1
3519204,Iacri,6723,Iacri,3505807,0
3519253,Iaras,6724,Iaras,3511409,0
3519303,Ibaté,6725,Ibaté,3519303,1
3519501,Ibirarema,6727,Ibirarema,3535309,0
3519402,Ibirá,6726,Ibirá,3511102,0
3519600,Ibitinga,6728,Ibitinga,3519600,1
3519709,Ibiúna,6729,Ibiúna,3519709,1
3519808,Icém,6730,Icém,3533007,0
3519907,Iepê,6731,Iepê,3519907,1
3520004,Igaraçu do Tietê,6732,Igaraçu do Tietê,3505302,0
3520103,Igarapava,6733,Igarapava,3520103,1
3520202,Igaratá,6734,Igaratá,3546801,0
3520301,Iguape,6735,Iguape,3520301,1
3520426,Ilha Comprida,6737,Ilha Comprida,3520301,0
3520442,Ilha Solteira,6738,Ilha Solteira,3520442,1
3520400,Ilhabela,6736,Ilhabela,3520400,1
3520509,Indaiatuba,6739,Indaiatuba,3520509,1
3520608,Indiana,6740,Indiana,3529203,0
3520707,Indiaporã,6741,Indiaporã,3534757,0
3520806,Inúbia Paulista,6742,Inúbia Paulista,3527405,0
3520905,Ipaussu,6743,Ipaussu,3520905,1
3521002,Iperó,6744,Iperó,3507001,0
3521101,Ipeúna,6745,Ipeúna,3543907,0
3521150,Ipiguá,6746,Ipiguá,3549805,0
3521200,Iporanga,6747,Iporanga,3514809,0
3521309,Ipuã,6748,Ipuã,3521309,1
3521408,Iracemápolis,6749,Iracemápolis,3526902,0
3521507,Irapuã,6750,Irapuã,3556008,0
3521606,Irapuru,6751,Irapuru,3534906,0
3521705,Itaberá,6752,Itaberá,3521705,1
3521804,Itaí,6753,Itaí,3521804,1
3521903,Itajobi,6754,Itajobi,3521903,1
3522000,Itaju,6755,Itaju,3505203,0
3522109,Itanhaém,6756,Itanhaém,3522109,1
3522158,Itaóca,6757,Itaóca,3502705,0
3522208,Itapecerica da Serra,6758,Itapecerica da Serra,3522208,1
3522307,Itapetininga,6759,Itapetininga,3522307,1
3522406,Itapeva,6760,Itapeva,3522406,1
3522505,Itapevi,6761,Itapevi,3522505,1
3522604,Itapira,6762,Itapira,3522604,1
3522653,Itapirapuã Paulista,6763,Itapirapuã Paulista,3502705,0
3522802,Itaporanga,6765,Itaporanga,3522802,1
3522901,Itapuí,6766,Itapuí,3525300,0
3523008,Itapura,6767,Itapura,3520442,0
3523107,Itaquaquecetuba,6768,Itaquaquecetuba,3523107,1
3523206,Itararé,6769,Itararé,3523206,1
3523305,Itariri,6770,Itariri,3523305,1
3523404,Itatiba,6771,Itatiba,3523404,1
3523503,Itatinga,6772,Itatinga,3523503,1
3522703,Itápolis,6764,Itápolis,3522703,1
3523602,Itirapina,6773,Itirapina,3523602,1
3523701,Itirapuã,6774,Itirapuã,3536307,0
3523800,Itobi,6775,Itobi,3510807,0
3523909,Itu,6776,Itu,3523909,1
3524006,Itupeva,6777,Itupeva,3524006,1
3524105,Ituverava,6778,Ituverava,3524105,1
3524204,Jaborandi,6779,Jaborandi,3512001,0
3524303,Jaboticabal,6780,Jaboticabal,3524303,1
3524402,Jacareí,6781,Jacareí,3524402,1
3524501,Jaci,6782,Jaci,3530300,0
3524600,Jacupiranga,6783,Jacupiranga,3524600,1
3524709,Jaguariúna,6784,Jaguariúna,3524709,1
3524808,Jales,6785,Jales,3524808,1
3524907,Jambeiro,6786,Jambeiro,3508504,0
3525003,Jandira,6787,Jandira,3525003,1
3525102,Jardinópolis,6788,Jardinópolis,3525102,1
3525201,Jarinu,6789,Jarinu,3525201,1
3525300,Jaú,6790,Jaú,3525300,1
3525409,Jeriquara,6791,Jeriquara,3537008,0
3525508,Joanópolis,6792,Joanópolis,3538600,0
3525607,João Ramalho,6793,João Ramalho,3541703,0
3525706,José Bonifácio,6794,José Bonifácio,3525706,1
3525854,Jumirim,6796,Jumirim,3554508,0
3525904,Jundiaí,6797,Jundiaí,3525904,1
3526001,Junqueirópolis,6798,Junqueirópolis,3526001,1
3526100,Juquiá,6799,Juquiá,3526100,1
3526209,Juquitiba,6800,Juquitiba,3522208,0
3525805,Júlio Mesquita,6795,Júlio Mesquita,3508801,0
3526308,Lagoinha,6801,Lagoinha,3550001,0
3526407,Laranjal Paulista,6802,Laranjal Paulista,3526407,1
3526506,Lavínia,6803,Lavínia,3530102,0
3526605,Lavrinhas,6804,Lavrinhas,3513405,0
